"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Mar-2024","EQ","222.00","227.00","215.15","220.00","218.95","218.80","221.09","289.25","49.75","82,98,617","1,83,47,23,732.15","59,020"
"19-Mar-2024","EQ","212.85","232.20","209.05","211.90","219.50","220.00","222.91","289.25","49.75","1,65,35,076","3,68,57,98,347.10","1,10,360"
"18-Mar-2024","EQ","208.25","221.95","208.25","215.65","211.80","211.90","214.98","289.25","49.75","55,33,738","1,18,96,43,302.25","54,513"
"15-Mar-2024","EQ","207.50","218.50","196.65","207.90","216.00","215.65","209.23","289.25","49.75","87,57,494","1,83,23,33,717.95","69,050"
"14-Mar-2024","EQ","187.00","207.90","182.10","189.00","207.90","207.90","198.38","289.25","49.75","56,21,377","1,11,51,48,820.35","50,347"
"13-Mar-2024","EQ","210.00","214.20","189.00","210.00","189.00","189.00","199.32","289.25","49.75","55,64,331","1,10,90,61,805.45","56,097"
"12-Mar-2024","EQ","218.85","221.60","205.55","218.85","209.80","210.00","211.66","289.25","49.75","51,19,228","1,08,35,20,658.30","43,538"
"11-Mar-2024","EQ","233.70","234.45","217.00","233.20","219.20","218.85","224.40","289.25","49.75","30,25,137","67,88,47,602.45","33,335"
"07-Mar-2024","EQ","234.65","237.10","231.15","234.60","232.00","233.20","233.70","289.25","49.75","28,73,368","67,14,98,208.15","25,011"
"06-Mar-2024","EQ","239.85","243.70","228.25","239.70","235.35","234.60","235.13","289.25","49.75","43,97,666","1,03,40,40,158.45","38,614"
"05-Mar-2024","EQ","229.30","248.40","228.70","229.15","239.95","239.70","241.34","289.25","49.75","1,35,56,465","3,27,16,86,815.50","1,08,864"
"04-Mar-2024","EQ","234.05","234.40","226.05","233.10","229.30","229.15","229.13","289.25","49.75","30,67,083","70,27,67,493.00","29,039"
"02-Mar-2024","EQ","230.00","234.85","228.90","229.15","233.05","233.10","232.91","289.25","49.25","6,09,019","14,18,45,639.75","7,352"
